timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1594567015447,2674,HTTP Request,200,OK,Thread Group 1-2,text,true,,1953,130,4,4,https://reqres.in/api/users?page=2,2666,0,2480
1594567016439,1682,HTTP Request,200,OK,Thread Group 1-3,text,true,,1953,130,4,4,https://reqres.in/api/users?page=2,1674,0,1490
1594567014817,3304,HTTP Request,200,OK,Thread Group 1-1,text,true,,1953,130,4,4,https://reqres.in/api/users?page=2,3296,0,3112
1594567017437,684,HTTP Request,200,OK,Thread Group 1-4,text,true,,1953,130,4,4,https://reqres.in/api/users?page=2,676,0,488
1594567018135,614,HTTP Request,200,OK,Thread Group 1-2,text,true,,1953,130,5,5,https://reqres.in/api/users?page=2,613,0,468
1594567018134,622,HTTP Request,200,OK,Thread Group 1-4,text,true,,1953,130,5,5,https://reqres.in/api/users?page=2,622,0,472
1594567018143,623,HTTP Request,200,OK,Thread Group 1-1,text,true,,1953,130,5,5,https://reqres.in/api/users?page=2,623,0,473
1594567018139,645,HTTP Request,200,OK,Thread Group 1-3,text,true,,1953,130,5,5,https://reqres.in/api/users?page=2,644,0,491
1594567018434,602,HTTP Request,200,OK,Thread Group 1-5,text,true,,1953,130,5,5,https://reqres.in/api/users?page=2,602,0,449
1594567018759,575,HTTP Request,200,OK,Thread Group 1-4,text,true,,1953,130,5,5,https://reqres.in/api/users?page=2,574,0,429
1594567018769,589,HTTP Request,200,OK,Thread Group 1-1,text,true,,1953,130,5,5,https://reqres.in/api/users?page=2,588,0,443
1594567018786,578,HTTP Request,200,OK,Thread Group 1-3,text,true,,1953,130,5,5,https://reqres.in/api/users?page=2,577,0,430
1594567018751,622,HTTP Request,200,OK,Thread Group 1-2,text,true,,1953,130,5,5,https://reqres.in/api/users?page=2,622,0,467
1594567019039,632,HTTP Request,200,OK,Thread Group 1-5,text,true,,1953,130,6,6,https://reqres.in/api/users?page=2,632,0,470
1594567019337,585,HTTP Request,200,OK,Thread Group 1-4,text,true,,1953,130,6,6,https://reqres.in/api/users?page=2,584,0,437
1594567019360,605,HTTP Request,200,OK,Thread Group 1-1,text,true,,1953,130,6,6,https://reqres.in/api/users?page=2,605,0,455
1594567019366,604,HTTP Request,200,OK,Thread Group 1-3,text,true,,1953,130,6,6,https://reqres.in/api/users?page=2,604,0,455
1594567019376,608,HTTP Request,200,OK,Thread Group 1-2,text,true,,1953,130,6,6,https://reqres.in/api/users?page=2,607,0,462
1594567019438,591,HTTP Request,200,OK,Thread Group 1-6,text,true,,1953,130,6,6,https://reqres.in/api/users?page=2,591,0,444
1594567019680,623,HTTP Request,200,OK,Thread Group 1-5,text,true,,1953,130,6,6,https://reqres.in/api/users?page=2,623,0,455
1594567019925,626,HTTP Request,200,OK,Thread Group 1-4,text,true,,1953,130,7,7,https://reqres.in/api/users?page=2,625,0,455
1594567019970,597,HTTP Request,200,OK,Thread Group 1-1,text,true,,1953,130,7,7,https://reqres.in/api/users?page=2,597,0,444
1594567019974,593,HTTP Request,200,OK,Thread Group 1-3,text,true,,1953,130,7,7,https://reqres.in/api/users?page=2,593,0,436
1594567019987,591,HTTP Request,200,OK,Thread Group 1-2,text,true,,1953,130,7,7,https://reqres.in/api/users?page=2,591,0,440
1594567020040,613,HTTP Request,200,OK,Thread Group 1-6,text,true,,1953,130,7,7,https://reqres.in/api/users?page=2,613,0,457
1594567020306,624,HTTP Request,200,OK,Thread Group 1-5,text,true,,1953,130,7,7,https://reqres.in/api/users?page=2,624,0,470
1594567020433,613,HTTP Request,200,OK,Thread Group 1-7,text,true,,1953,130,7,7,https://reqres.in/api/users?page=2,613,0,467
1594567020570,628,HTTP Request,200,OK,Thread Group 1-1,text,true,,1953,130,7,7,https://reqres.in/api/users?page=2,627,0,485
1594567020553,651,HTTP Request,200,OK,Thread Group 1-4,text,true,,1953,130,7,7,https://reqres.in/api/users?page=2,651,0,496
1594567020570,641,HTTP Request,200,OK,Thread Group 1-3,text,true,,1953,130,7,7,https://reqres.in/api/users?page=2,640,0,495
1594567020580,636,HTTP Request,200,OK,Thread Group 1-2,text,true,,1953,130,7,7,https://reqres.in/api/users?page=2,636,0,483
1594567020655,613,HTTP Request,200,OK,Thread Group 1-6,text,true,,1953,130,7,7,https://reqres.in/api/users?page=2,612,0,460
1594567020932,620,HTTP Request,200,OK,Thread Group 1-5,text,true,,1953,130,8,8,https://reqres.in/api/users?page=2,619,0,467
1594567021049,615,HTTP Request,200,OK,Thread Group 1-7,text,true,,1953,130,8,8,https://reqres.in/api/users?page=2,614,0,463
1594567021200,573,HTTP Request,200,OK,Thread Group 1-1,text,true,,1953,130,8,8,https://reqres.in/api/users?page=2,573,0,427
1594567021207,616,HTTP Request,200,OK,Thread Group 1-4,text,true,,1953,130,8,8,https://reqres.in/api/users?page=2,615,0,461
1594567021219,630,HTTP Request,200,OK,Thread Group 1-2,text,true,,1953,130,8,8,https://reqres.in/api/users?page=2,629,0,468
1594567021213,645,HTTP Request,200,OK,Thread Group 1-3,text,true,,1953,130,8,8,https://reqres.in/api/users?page=2,645,0,480
1594567021270,600,HTTP Request,200,OK,Thread Group 1-6,text,true,,1953,130,8,8,https://reqres.in/api/users?page=2,600,0,441
1594567021431,594,HTTP Request,200,OK,Thread Group 1-8,text,true,,1953,130,8,8,https://reqres.in/api/users?page=2,593,0,442
1594567021554,628,HTTP Request,200,OK,Thread Group 1-5,text,true,,1953,130,8,8,https://reqres.in/api/users?page=2,627,0,474
1594567021666,606,HTTP Request,200,OK,Thread Group 1-7,text,true,,1953,130,8,8,https://reqres.in/api/users?page=2,605,0,457
1594567021776,590,HTTP Request,200,OK,Thread Group 1-1,text,true,,1953,130,8,8,https://reqres.in/api/users?page=2,590,0,438
1594567021825,602,HTTP Request,200,OK,Thread Group 1-4,text,true,,1953,130,8,8,https://reqres.in/api/users?page=2,602,0,455
1594567021852,592,HTTP Request,200,OK,Thread Group 1-2,text,true,,1953,130,9,9,https://reqres.in/api/users?page=2,592,0,446
1594567021862,589,HTTP Request,200,OK,Thread Group 1-3,text,true,,1953,130,9,9,https://reqres.in/api/users?page=2,589,0,440
1594567021872,622,HTTP Request,200,OK,Thread Group 1-6,text,true,,1953,130,9,9,https://reqres.in/api/users?page=2,622,0,470
1594567022030,654,HTTP Request,200,OK,Thread Group 1-8,text,true,,1953,130,9,9,https://reqres.in/api/users?page=2,653,0,473
1594567022184,630,HTTP Request,200,OK,Thread Group 1-5,text,true,,1953,130,9,9,https://reqres.in/api/users?page=2,629,0,450
1594567022274,611,HTTP Request,200,OK,Thread Group 1-7,text,true,,1953,130,9,9,https://reqres.in/api/users?page=2,611,0,455
1594567022368,630,HTTP Request,200,OK,Thread Group 1-1,text,true,,1953,130,9,9,https://reqres.in/api/users?page=2,630,0,471
